name	pos
正授	vno
權	vno
行	vno
守	vno
試	vno
權發遣	vno
借	vno
假	vno
添差	vno
添差不釐務	vno
添差仍釐務	vno
視	vno
攝	vno
封	vno
贈	vno
累贈	vno
卒贈	vno
檢校	vno
入内	vno
追封	vno
追贈	vno
卒封	vno
累封	vno
襲封	vno
署	vno
判	vno
簽書	vno
權管勾	vno
致仕	vno
兼	vno
恩例	vno
進階	vno
表	vno
蔭襲	vno
任	vno
誥贈	vno
誥封	vno
授	vno
充	vno
遙授	vno
賜	vno
改	vno
特進	vno
進階	vno
陞	vno
追	vno
援例	vno
敕封	vno
贈署	vno
進	vno
加	vno
勅贈	vno
例授	vno
選	vno
調	vno
降	vno
補	vno
差	vno
歷	vno
歷陞	vno
復補	vno
復除	vno
謫	vno
轉	vno
復稱	vno
復改	vno
復	vno
改補	vno
起	vno
調繁	vno
擬授	vno
左遷	vno
超陞	vno
降陞	vno
蔭	vno
復原	vno
復調	vno
補陞	vno
除	vno
遷	vno
調補	vno
降除	vno
暫擬	vno
暫	vno
降補	vno
考選	vno
擬	vno
歷任	vno
復起	vno
候選	vno
移	vno
擢	vno
貶	vno
爲	vno
舉	vno
業	vno
