name	pos
遠祖	nk
其先	nk
三十一世祖	nk
十八世祖	nk
十六代祖	nk
十五代祖	nk
十三代祖	nk
十二世祖	nk
十二代祖	nk
六代祖	nk
十代祖	nk
十一代祖	nk
十一世祖	nk
十世祖	nk
九世祖	nk
八世祖	nk
七世祖	nk
六世祖	nk
五世祖	nk
五代祖	nk
高祖	nk
四世祖	nk
四代祖	nk
高祖母	nk
四代祖母	nk
曾祖	nk
"曾祖考
"	nk
曾大父	nk
大王父	nk
曾王父	nk
曾祖王父	nk
皇曾祖	nk
曾大考	nk
曾伯祖	nk
曾叔祖	nk
曾祖母	nk
曾祖妣	nk
曾大母	nk
曾王母	nk
曾祖姑	nk
先祖	nk
先祖考	nk
先大父	nk
先王父	nk
大父	nk
王父	nk
皇祖考	nk
大考	nk
祖	nk
從祖	nk
族祖	nk
祖母	nk
王母	nk
大王母	nk
大母	nk
祖妣	nk
從祖母	nk
外叔祖母	nk
繼祖母	nk
叔祖母	nk
祖姑	nk
從祖姑	nk
伯祖	nk
伯祖父	nk
伯祖母	nk
叔祖父	nk
叔祖	nk
叔祖母	nk
從伯祖	nk
父	nk
考	nk
皇考	nk
先父	nk
先考	nk
伯父	nk
世父	nk
叔父	nk
伯母	nk
叔母	nk
族父	nk
族母	nk
姑	nk
仲姑	nk
從姑	nk
母	nk
妣	nk
皇妣	nk
先妣	nk
後母	nk
繼母	nk
嫡母	nk
生母	nk
庶母	nk
再從伯	nk
再從叔	nk
再從舅	nk
再從姑	nk
兄	nk
弟	nk
長兄	nk
次兄	nk
長弟	nk
次弟	nk
季兄	nk
幼弟	nk
同母弟	nk
同母姊	nk
仲父	nk
堂兄	nk
從兄	nk
從弟	nk
堂弟	nk
再從兄	nk
從堂兄	nk
再從弟	nk
再從兄弟	nk
再從昆弟	nk
族兄	nk
族弟	nk
嫂	nk
從嫂	nk
妹婿	nk
姐	nk
姊	nk
妹	nk
堂姊	nk
堂妹	nk
姊夫	nk
再從妹	nk
再從姊	nk
妻	nk
夫人	nk
妾	nk
前夫人	nk
今夫人	nk
後夫人	nk
先夫人	nk
子	nk
嗣子	nk
长子	nk
次子	nk
仲子	nk
幼子	nk
庶子	nk
冢婦	nk
仲子婦	nk
伯子	nk
仲子	nk
季子	nk
长女	nk
仲女	nk
次女	nk
幼女	nk
長婿	nk
次婿	nk
侄	nk
侄子	nk
从子	nk
堂侄	nk
再從子	nk
再從姪	nk
侄女婿	nk
甥	nk
甥女	nk
表甥	nk
表甥女	nk
從妹	nk
從姊	nk
從伯	nk
從父	nk
從伯父	nk
從叔	nk
從叔父	nk
從伯姑	nk
從舅	nk
姨母	nk
姨	nk
孫	nk
孫男	nk
男孫	nk
孫女	nk
女孫	nk
嫡孫	nk
長孫	nk
從孫	nk
從孫女	nk
再從孫	nk
孫妇	nk
孫婿	nk
孫女婿	nk
外孫	nk
外孫男	nk
外孫女	nk
姪孫	nk
姪孫女	nk
外甥	nk
外甥女	nk
曾孫	nk
曾孫男	nk
曾孫女	nk
曾姪孫	nk
曾孫婿	nk
外曾孫	nk
玄孫	nk
四世孫	nk
來孫	nk
外舅	nk
外姑	nk
母舅	nk
外曾大父	nk
外曾王父	nk
外曾祖父	nk
外祖	nk
外祖父	nk
外王父	nk
外大父	nk
外王母	nk
外祖母	nk
外叔祖	nk
外伯祖	nk
外伯祖母	nk
舅	nk
姨母	nk
從舅	nk
再從舅	nk
從妗	nk
表兄	nk
表弟	nk
表妹	nk
表姊	nk
外舅	nk
外姑	nk
舅	nk
姑	nk
姨	nk
妻兄	nk
妻弟	nk
妻甥	nk
甥男	nk
甥女	nk
第二子	nk
第三子	nk
第四子	nk
第五子	nk
第六子	nk
第七子	nk
第八子	nk
第十子	nk
第十三子	nk
外伯父	nk
外叔父	nk
外大祖	nk
外曾祖	nk
元昆	nk
亞弟	nk
季弟	nk
季兄	nk
仲兄	nk
仲弟	nk
叔弟	nk
婿	nk
男	nk
子男	nk
男子	nk
女	nk
女子	nk
子女	nk
嫁	nk
適	nk
歸	nk
許嫁	nk
許歸	nk
許適	nk
娶	nk
取	nk
配	nk
