c_ot_cls_id	c_ot_cls_chinm	c_ot_cls_engnm	c_ot_cls_desc	c_ot_cls_start	c_ot_cls_end
0	京衛京營與中央軍事官署類	Central and Capital Militaries			
1	地方軍事與治安機構類	Regional and Local Military Units			
2	(行)都指揮使司門	(Auxiliary) Regional and Local Military Units			
3	招討經略安撫使門	Various Pacification Commissions			
4	五城兵馬指揮司門	Wardens' Offices of the Five Wards			
5	番夷都指揮使司門	Frontier Native Military Units			
6	文武散階勛爵類	Honorary Civil and Military Titles			
7	司法監察機構類	Legislation and Censorship			
8	中央輔佐官署類	Central Administration Assistance			
9	皇太子與東宮門	Heir Apparent and Eastern Palace			
10	南京司法監察門	The Legislation and Censorate in Nanjing			
11	中央中樞官署類	The Central Government			
12	南京軍事官署門	Military Units in Nanjing			
13	南京僧道官門	Buddhist and Daoist Registries in Nanjing			
14	地區軍官門	Regional Military Officials			
15	南京皇族門	Imperial Family and Royal Court in Nanjing			
16	南京六科門	The Six Offices of Scrutiny in Nanjing			
17	地方官署類	Regional and Local Governance			
18	南京秘書門	The Administrative Assistance in Nanjing			
19	南京寺監門	The Courts and Directorates in Nanjing			
20	大都督府門	The Chief Military Commissions			
21	牧鹽舶政類	Horse/Salt Business and Maritime Trade			
22	基層官署門	Community Governance			
23	皇族宮廷類	Imperial Family and Royal Court			
24	王府護衞門	Escort Guard of Princely Establishment			
25	鹽課鹽運門	Salt Business			
26	南京官署類	The Auxiliary Capital in Nanjing			
27	南京六部門	The Six Ministries in Nanjing			
28	外命婦門	Noble Ladies			
29	市舶司門	Maritime Trade			
30	留守司門	The Regency			
31	文散階門	Prestige Civil Titles			
32	武勛階門	Merit-Based Military Titles			
33	僧道官門	Buddhist and Daoist Registries			
34	武散階門	Prestige Military Titles			
35	中書省門	The Central Secretariat			
36	文勛階門	Merit-based Civil Titles			
37	女官門	Palace Women			
38	考官門				
39	帝后門	Emperors and Empresses			
40	京營門	Military Training Units in the Capital			
41	勛爵門	Noble Titles			
42	馬政門	Horse Management			
43	京衛門	Military Guards of the Capital City			
44	寺監門	Courts and Directorates			
45	六部門	Six Ministries			
46	司法門	Legislation			
47	宦官門	Eunuch Offices			
48	秘書門	Secretary Offices			
49	縣官門	District Governance			
50	公師門	The Three Dukes and Three Solitaries			
51	京府門	Superior Prefectural Governance			
52	州官門	Sub-prefectural Governance			
53	內閣門	The Grand Secretariat			
54	省官門	Provincial Governance			
55	宗室門	The Imperial Clan			
56	府官門	Prefectural Governance			
57	六科門	The Six Offices of Scrutiny			
58	監察門	Censorate			
