c_ot_tit_id	c_ot_tit_chinm	c_ot_tit_engnm	c_ot_tit_desc	c_ot_tit_start	c_ot_tit_end
0	同知右率府事				
1	同知經筵重錄				
2	平章軍國重事				
3	右副總兵都督				
4	同知左率府事				
5	同知詹事院事				
6	編修稽考察對				
7	右御史大夫				
8	稽考參對官				
9	右副都御史				
10	行都指揮使				
11	右僉都御史				
12	都指揮副使				
13	右副都御使				
14	右都副御史				
15	左副都御史				
16	都指揮同知				
17	左僉都御史				
18	答應長隨				
19	指揮副使				
20	左副總兵				
21	右都御史				
22	指揮副史				
23	提控案牘				
24	左布政使				
25	右率府使				
26	指揮同知				
27	副都評事				
28	上騎都尉				
29	大理寺丞				
30	太上皇帝				
31	太皇太后				
32	左都御史				
33	平章政事				
34	太皇太妃				
35	副布政使				
36	副總裁官				
37	左清紀郎				
38	右給事中				
39	理刑行人				
40	會試考官				
41	副千夫長				
42	右副總兵				
43	副都御史				
44	郡王世子				
45	當差聽事				
46	左所百戶				
47	掌號頭官				
48	左給事中				
49	都轉運使				
50	知貢舉官				
51	左率府使				
52	副總兵將				
53	副都指揮				
54	同考試官				
55	太保少傅				
56	右布政使				
57	都指揮使				
58	中使司正				
59	中所百戶				
60	參知政事				
61	僉都御史				
62	右都御使				
63	右副御史				
64	學士承旨				
65	史官修撰				
66	都督同知				
67	正一真人				
68	參贊機務				
69	右清紀郎				
70	指揮僉事				
71	大號頭官				
72	都給事中				
73	中使司副				
74	右宗正				
75	榮陽侯				
76	清遠伯				
77	騎都尉				
78	承事郎				
79	文安侯				
80	左侍郎				
81	昌寧侯				
82	忠勇王				
83	安慶侯				
84	右國柱				
85	延安侯				
86	坐司官				
87	裕國公				
88	右通政				
89	武騎尉				
90	奉祠正				
91	濟寧侯				
92	永順侯				
93	宗人令				
94	修史官				
95	宣德郎				
96	春官正				
97	豐國公				
98	永定侯				
99	廩犧令				
100	文館官				
101	許國公				
102	觀察使				
103	右監正				
104	清平侯				
105	贊禮郎				
106	漕運使				
