c_ot_adm_id	c_ot_adm_chinm	type	c_ot_adm_engnm	c_ot_adm_desc	c_ot_adm_start	c_ot_adm_end	part1	type1	part2	type2	Unnamed: 11	Unnamed: 12	length
3	張家灣鹽倉檢校批驗所	o					張家灣鹽倉		檢校批驗所		e	emperor	10
4	龍江鹽倉檢校批驗所	o					龍江鹽倉		檢校批驗所		o	office	9
8	瓦屑壩抽分竹木局	o					瓦屑壩		抽分竹木局				8
1107	騰驤,武驤四衛營	o											8
6	吳王左相大都督府	o											8
5	盧溝穚抽分竹木局	o					盧溝穚		抽分竹木局		f	function	8
19	萬全都指揮使司	o						o					7
1154	南京五軍都督府	o											7
1153	南京五城兵馬司	o											7
1077	西城兵馬指揮司	o											7
1076	東城兵馬指揮司	o											7
1075	南城兵馬指揮司	o											7
1058	番夷都指揮使司	o											7
1074	北城兵馬指揮司	o											7
18	通積抽分竹木局	o					通積		抽分竹木局				7
17	廣積抽分竹木局	o					廣積		抽分竹木局				7
11	通州抽分竹木局	o					通州		抽分竹木局				7
10	騰驤武驤四衛營	o											7
13	白河抽分竹木局	o					白河		抽分竹木局				7
12	龍江抽分竹木局	o					龍江		抽分竹木局				7
21	織染所雜造局	o					織染所		雜造局				6
1159	京畿都漕運司	o											6
22	親軍指揮使司	o					親軍		指揮使司				6
23	書籍名畫等庫	o											6
24	大通關提舉司	o					大通關		提舉司				6
1064	承宣布政使司	o											6
1062	行都指揮使司	o											6
27	營造提舉分司	o					營造		提舉分司				6
1053	都轉鹽運使司	o											6
1126	都轉鹽運使司	o											6
1152	南京通政使司	o											6
1133	承宣布政使司	o											6
31	中都留守司管	o					中都		留守司				6
1148	南京宗人府	o											5
1149	南京詹事府	o											5
1150	南京尚寶司	o											5
1146	南京欽天監	o											5
1145	南京太醫院	o											5
1144	南京太常寺	o											5
1151	南京翰林院	o											5
1147	南京鴻臚寺	o											5
1171	醫學提舉司	o											5
1156	南京錦衣衛	o											5
1167	蠻夷長官司	o											5
1142	南京國子監	o											5
111	兵曹清吏司	o					兵曹		清吏司				5
110	兩淮鹽運司	o					兩淮		鹽運司				5
109	提督軍器庫	o					提督		軍器庫				5
108	行大都督府	o											5
106	行在翰林院	o					行在		翰林院				5
105	行在行人司	o					行在		行人司				5
104	吏曹清吏司	o					吏曹		清吏司				5
103	內府供用庫	o											5
1143	南京太僕寺	o											5
1103	南京道錄司	o											5
1141	南京光祿寺	o											5
100	武選清吏司	o					武選		清吏司				5
1007	殿庭儀禮司	o											5
1009	醫學提舉司	o											5
1013	孝陵神宮監	o											5
1020	南京僧錄司	o											5
1026	王府長史司	o											5
1051	鹽課提舉司	o											5
1054	煎鹽提舉司	o											5
1059	王府儀衞司	o											5
1060	王府儀杖司	o											5
1061	衛指揮使司	o											5
1072	神宮內使監	o											5
1078	兵馬指揮司	o											5
1140	南京都察院	o											5
1093	前軍都督府	o											5
1095	右軍都督府	o											5
1097	中軍都督府	o											5
1098	左軍都督府	o											5
1099	後軍都督府	o											5
1117	內府寶鈔庫	o											5
1122	王府長史司	o											5
1125	鹽課提舉司	o											5
1127	煎鹽提舉司	o											5
1132	市舶提舉司	o											5
1139	南京大理寺	o											5
101	營造提舉司	o					營造		提舉司				5
107	廣東清吏司	o					廣東		清吏司				5
99	禮曹清吏司	o					禮曹		清吏司				5
68	工曹清吏司	o					工曹		清吏司				5
52	戶曹清吏司	o					戶曹		清吏司				5
53	鹽場鹽課司	o					鹽場		鹽課司				5
54	貴州清吏司	o					貴州		清吏司				5
55	雲南清吏司	o					雲南		清吏司				5
56	虞衡清吏司	o					虞衡		清吏司				5
57	稽勛清吏司	o					稽勛		清吏司				5
58	驗封清吏司	o					驗封		清吏司				5
98	廵撫都察院	o					廵撫		都察院				5
60	精膳清吏司	o					精膳		清吏司				5
61	稽勳清吏司	o					稽勳		清吏司				5
63	行在錦衣衛	o					行在		錦衣衛				5
65	主客清吏司	o					主客		清吏司				5
66	鹽井鹽課司	o					鹽井		鹽課司				5
50	在京行用庫	o											5
49	江西清吏司	o					江西		清吏司				5
40	都水清吏司	o					都水		清吏司				5
35	龍江提舉司	o					龍江		提舉司				5
36	山東清吏司	o					山東		清吏司				5
37	刑曹清吏司	o					刑曹		清吏司				5
38	行在四川道	o					行在		四川道				5
39	河南清吏司	o					河南		清吏司				5
41	儒學提舉司	o					儒學		提舉司				5
48	湖廣清吏司	o					湖廣		清吏司				5
42	四川清吏司	o					四川		清吏司				5
