c_ot_func_id	c_ot_func_chinm	type	c_ot_func_engnm	c_ot_func_desc	c_ot_func_start	c_ot_func_end	part1	type1	part2	type2	Unnamed: 11	Unnamed: 12	length
0	累朝御製文集聖學心法及四書五經性理大全	b									a	action	19
1	重書累朝及恭睿献皇帝寶訓實錄	b					重書累朝及恭睿献皇帝寶訓	e	實錄	b	b	book	14
2	總理薊州昌平保定三鎮練兵事	f									d	地址	13
7	五經四書性理大全	b											8
9	勘處湖廣貴州夷情	f											8
1221	贊理松潘地方軍務	f											8
1185	署南京翰林院事	f											7
1184	掌南京翰林院事	f											7
16	英宗睿皇帝實錄	b					英宗睿皇帝	e	實錄	b			7
1218	掌翰林院印信	f											6
33	重錄永樂大典	f					重錄	a	永樂大典	b			6
26	監視宣府大同	f											6
20	管理水利屯田	f						f					6
30	進講大學衍義	f					進講	a	大學衍義	b			6
25	廵撫贊理軍務	f											6
28	監視薊鎮東協	f											6
1209	掌太常卿事	f											5
1217	掌翰林院事	f											5
1220	署大理寺事	f											5
1175	掌詹事府事	f											5
75	獻皇帝實錄	b					獻皇帝	e	實錄	b			5
85	明熹宗實錄	b					明熹宗	e	實錄	b			5
102	掌詹事府事	f											5
237	憲宗實錄	b					憲宗	e	實錄	b			4
238	孝廟實錄	b					孝廟	e	實錄	b			4
236	世宗實錄	b					世宗	e	實錄	b			4
1199	協理戎政	f											4
1222	清理軍伍	f											4
234	宣宗實錄	b					宣宗	e	實錄	b			4
232	穆宗實錄	b					穆宗	e	實錄	b			4
173	分守地方	f											4
171	提督學校	f					提督		學校				4
168	武宗實錄	b					武宗	e	實錄	b			4
162	署員外郎	f											4
161	歷代君鑒	b											4
160	憲廟實錄	b					憲廟	e	實錄	b			4
159	征討安南	f					征討		安南				4
158	寰宇通志	b											4
157	仁宗實錄	b					仁宗	e	實錄	b			4
176	提督學道	f					提督		學道				4
177	孝宗實錄	b					孝宗	e	實錄	b			4
193	巡視倉場	f					巡視		倉場				4
191	領薊鎮班	f											4
190	提督織造	f					提督		織造				4
187	巡視京營	f					巡視		京營				4
178	提督南京	f					提督		南京				4
186	分守州右	f											4
180	巡視皇城	f					巡視		皇城				4
179	總督備倭	f								t			4
155	署郎中事	f											4
129	太宗實錄	b					太宗	e	實錄	b			4
128	三朝要典	b											4
125	肅宗實錄	b					肅宗	e	實錄	b			4
131	管理鎮城	f											4
118	提督西廠	f					提督		西廠				4
117	清理軍伍	f											4
115	大明日曆	b											4
113	巡撫中軍	f											4
130	文獻大成	b											4
143	西協監視	f											4
150	南京織造	f					南京		織造				4
142	分守州左	f											4
140	提督狼山	f					提督		狼山				4
138	鎮守江南	f											4
134	征勦流寇	f											4
198	通鑑纂要	b								b			4
218	蘇州織造	f					蘇州		織造				4
213	巡視內庫	f					巡視		內庫				4
214	世廟實錄	b					世廟	e	實錄	b			4
215	經略畿輔	f					經略		畿輔				4
216	纂修實錄	b					纂修	a	實錄	b			4
219	大明會典	b								b			4
221	督理錢法	f											4
222	總監昌宣	f											4
225	協理京營	f											4
226	祀儀成典	b								b			4
227	提督京營	f					提督		京營				4
228	杭州織造	f					杭州		織造				4
229	專領護駕	f											4
230	提督謄黃	f					提督		謄黃				4
208	協同督運	f											4
201	承天大誌	b								b			4
205	統領南兵	f								a			4
203	大禮全書	b								b			4
1200	署部事	f											3
274	掌科事	f											3
908	元史	b											2
624	會典	b											2
894	實錄	b						b					2
