c_ot_tit_id	c_ot_tit_chinm	value_to_run	c_ot_tit_desc	c_ot_tit_start	c_ot_tit_end	length
1493	佩刀侍衛管領將軍	1.0				8
1453	征虜左副副將軍	1.0				7
1464	征討安南總兵官	1.0				7
0	同知右率府事	1.0				6
1466	領軍遊擊將軍	1.0				6
1524	春坊贊善大夫	1.0				6
1397	市舶提督太監	1.0				6
1440	征南右副將軍	1.0				6
1442	征南左副將軍	1.0				6
1	同知經筵重錄	1.0				6
1383	外監把總太監	1.0				6
1450	征虜右副將軍	1.0				6
1454	征虜左副將軍	1.0				6
1382	裡監把總太監	1.0				6
5	太子贊善大夫	1.0				6
1460	征西右副將軍	1.0				6
6	同知左率府事	1.0				6
4	右副總兵都督	1.0				6
7	同知詹事院事	1.0				6
8	編修稽考察對	1.0				6
3	平章軍國重事	1.0				6
1462	征西左副將軍	1.0				6
2	勲衛帶刀侍從	1.0				6
1520	王府講讀官	1.0				5
1498	陰陽學典術	1.0				5
1488	鎮國上將軍	1.0				5
1436	奉命大將軍	1.0				5
1437	宣武大將軍	1.0				5
1458	征西前將軍	1.0				5
1438	征南副將軍	1.0				5
1490	奉國上將軍	1.0				5
1489	金吾上將軍	1.0				5
1465	征鹵前將軍	1.0				5
1487	路遊擊將軍	1.0				5
1439	征南右副將	1.0				5
1456	征蠻副將軍	1.0				5
1443	征南總兵官	1.0				5
1444	征夷副將軍	1.0				5
1448	征虜前將軍	1.0				5
1406	昭勇大將軍	1.0				5
1449	征虜副將軍	1.0				5
1451	征虜大將軍	1.0				5
1463	征西總兵官	1.0				5
1455	征虜左將軍	1.0				5
1413	皇門官門正	1.0				5
1414	皇門官門副	1.0				5
1459	征西副將軍	1.0				5
17	右都副御史	1.0				5
1542	左御史大夫	1.0				5
1553	經筵侍班官	1.0				5
1395	提督太監副	1.0				5
1554	經筵展書官	1.0				5
1555	經筵日講官	1.0				5
19	都指揮同知	1.0				5
1396	提督太監正	1.0				5
18	左副都御史	1.0				5
20	左僉都御史	1.0				5
16	右副都御使	1.0				5
14	右僉都御史	1.0				5
13	行都指揮使	1.0				5
9	右率府副使	1.0				5
12	右副都御史	1.0				5
15	都指揮副使	1.0				5
11	稽考參對官	1.0				5
10	右御史大夫	1.0				5
1457	征蠻將軍	1.0				4
1388	尚履奉御	1.0				4
1387	直殿奉御	1.0				4
1386	尚佩奉御	1.0				4
1441	征南將軍	1.0				4
1385	僉書太監	1.0				4
1445	征夷將軍	1.0				4
1446	征彜將軍	1.0				4
1447	征戍將軍	1.0				4
1384	管理太監	1.0				4
1381	掌印太監	1.0				4
1390	尚衣奉御	1.0				4
1452	征虜將軍	1.0				4
1389	涓潔奉御	1.0				4
1404	顯武將軍	1.0				4
1391	尚冠奉御	1.0				4
1421	尚藥奉御	1.0				4
1403	鎮國將軍	1.0				4
1408	儒學訓導	1.0				4
1409	儒學教諭	1.0				4
1410	通事舍人	1.0				4
1412	皇門副使	1.0				4
1402	驃騎將軍	1.0				4
1400	監官太監	1.0				4
1399	守陵太監	1.0				4
1417	總理太監	1.0				4
1418	提督太監	1.0				4
1419	監督太監	1.0				4
1420	御馬奉御	1.0				4
1424	太子太師	1.0				4
1405	龍虎將軍	1.0				4
1425	右司直郎	1.0				4
1426	太子文學	1.0				4
1427	秉筆太監	1.0				4
1428	隨堂太監	1.0				4
1430	王府訓導	1.0				4
1431	引禮舍人	1.0				4
1432	周府紀善	1.0				4
1433	周府宗正	1.0				4
1434	鹽倉副使	1.0				4
1435	鹽倉大使	1.0				4
1394	採辦太監	1.0				4
1393	監工太監	1.0				4
1392	尚佩奉御	1.0				4
1479	昭武將軍	1.0				4
1461	征西將軍	1.0				4
1531	朝列大夫	1.0				4
1537	資善大夫	1.0				4
1536	正議大夫	1.0				4
1535	正奉大夫	1.0				4
1534	榮祿大夫	1.0				4
1533	朝議大夫	1.0				4
1532	朝請大夫	1.0				4
1530	奉議大夫	1.0				4
1521	王府講官	1.0				4
1529	奉訓大夫	1.0				4
1528	奉直大夫	1.0				4
1527	大中大夫	1.0				4
1526	嘉議大夫	1.0				4
1525	光祿大夫	1.0				4
1523	大長公主	1.0				4
1538	資德大夫	1.0				4
1539	資政大夫	1.0				4
1540	通奉大夫	1.0				4
1541	通議大夫	1.0				4
1543	御史大夫	1.0				4
1544	諫議大夫	1.0				4
1545	分朔大夫	1.0				4
1546	司玄大夫	1.0				4
1547	正儀大夫	1.0				4
1549	醫學教授	1.0				4
1550	儀署鳴贊	1.0				4
1551	賓署鳴贊	1.0				4
1552	外夷通事	1.0				4
1556	經筵講官	1.0				4
1558	大長公主	1.0				4
1563	郡王世子	1.0				4
1565	駙馬都尉	1.0				4
1522	候府典史	1.0				4
1517	迪功佐郎	1.0				4
1468	信武將軍	1.0				4
1476	懷遠將軍	1.0				4
1483	武節將軍	1.0				4
1482	武略將軍	1.0				4
1481	武毅將軍	1.0				4
1480	昭毅將軍	1.0				4
1478	昭勇將軍	1.0				4
1477	明威將軍	1.0				4
1475	廣威將軍	1.0				4
1516	將仕佐郎	1.0				4
1474	宣武將軍	1.0				4
1473	宣威將軍	1.0				4
1472	定遠將軍	1.0				4
1471	定國將軍	1.0				4
1470	安遠將軍	1.0				4
1469	奉國將軍	1.0				4
1484	金吾將軍	1.0				4
1485	武德將軍	1.0				4
1486	盪寇將軍	1.0				4
1491	奉國將軍	1.0				4
1492	輔國將軍	1.0				4
1494	儒學學正	1.0				4
1495	草場副使	1.0				4
1496	草場大使	1.0				4
1497	醫學典科	1.0				4
1501	紀事奉御	1.0				4
1503	奉國中尉	1.0				4
1505	輔國中尉	1.0				4
1506	鎮國中尉	1.0				4
1507	一品夫人	1.0				4
1512	修正庶尹	1.0				4
1513	協正庶尹	1.0				4
1514	正治上卿	1.0				4
1380	周府禮官	1.0				4
1566	尚寶奉御	1.0				4
69	都轉運使	1.0				4
86	都督同知	1.0				4
92	都給事中	1.0				4
91	大號頭官	1.0				4
90	指揮僉事	1.0				4
89	右清紀郎	1.0				4
88	參贊機務	1.0				4
87	正一真人	1.0				4
85	史官修撰	1.0				4
40	左副總兵	1.0				4
84	學士承旨	1.0				4
83	右副御史	1.0				4
82	右都御使	1.0				4
81	僉都御史	1.0				4
80	參知政事	1.0				4
93	中使司副	1.0				4
94	直省舍人	1.0				4
43	提控案牘	1.0				4
34	太子賓客	1.0				4
28	太子正字	1.0				4
29	太子太保	1.0				4
30	太子太傅	1.0				4
31	太子少保	1.0				4
32	太子少傅	1.0				4
33	太子少師	1.0				4
35	冊封副使	1.0				4
95	贊善大夫	1.0				4
36	皇太孫嬪	2.0				4
37	皇太孫妃	2.0				4
38	皇太子妃	2.0				4
39	皇太子嬪	2.0				4
97	中書舍人	1.0				4
96	通事舍人	1.0				4
78	中使司正	1.0				4
77	都指揮使	1.0				4
76	右布政使	1.0				4
52	左都御史	1.0				4
58	右給事中	1.0				4
57	左清紀郎	1.0				4
56	副總裁官	1.0				4
55	副布政使	1.0				4
54	太皇太妃	2.0				4
53	平章政事	1.0				4
51	太皇太后	2.0				4
50	太上皇帝	2.0				4
49	大理寺丞	1.0				4
48	上騎都尉	1.0				4
47	副都評事	1.0				4
46	指揮同知	1.0				4
45	右率府使	1.0				4
61	副千夫長	1.0				4
42	指揮副史	1.0				4
62	右副總兵	1.0				4
63	副都御史	1.0				4
65	當差聽事	1.0				4
67	掌號頭官	1.0				4
68	左給事中	1.0				4
41	右都御史	1.0				4
70	知貢舉官	1.0				4
71	左率府使	1.0				4
72	副總兵將	1.0				4
73	副都指揮	1.0				4
74	同考試官	1.0				4
27	太子庶子	1.0				4
26	太子洗馬	1.0				4
25	太子侍正	1.0				4
21	答應長隨	1.0				4
24	太子中舍	1.0				4
44	左布政使	1.0				4
22	指揮副使	1.0				4
23	左司直郎	1.0				4
651	東莞伯	2.0				3
692	靖寧侯	2.0				3
697	武勳王	2.0				3
696	侍班官	1.0				3
695	德慶侯	2.0				3
694	鹽運使	1.0				3
693	涇國公	2.0				3
690	中軍官	1.0				3
691	通政卿	1.0				3
699	保國公	2.0				3
689	皇太子	2.0				3
688	咸寧伯	2.0				3
687	信安伯	2.0				3
686	安陽侯	2.0				3
698	講讀官	1.0				3
700	校錄官	1.0				3
