	c_office_id	c_office_chn	place	office	title
18548	81022	都察院左副都御史		都察院	御史#左副都御史
19472	81946	管理關口事務			
19969	82443	後營管帶			管帶
20904	83379	考試翻譯閱卷大臣			大臣
20044	82518	戶部七品小京官		戶部	七品小京官#小京官
24280	86756	一等英誠公世爵			
21037	83512	考試幼官學大臣		官學	大臣
24243	86719	一等恪靖伯			
18196	80670	朝審大臣			大臣
21270	83745	禮學館顧問官		禮學館	顧問官
25092	87568	中書科筆帖式		中書科	筆帖式
21921	84396	農務司主稿		農務司	主稿
23817	86292	刑部江蘇司員外郎	江蘇	刑部	外郎#員外郎
17570	80044	八旗童試搜檢大臣			大臣
22179	84654	三等翻譯官			翻譯官#譯官
23842	86317	刑部山東司郎中	山東	東司#刑部	郎中
21913	84388	農工商部右丞		商部#農工商部	丞#右丞
25296	87772	總辦秋審處		秋審處	
17581	80055	八旗專操大臣管理新舊營房			
20147	82621	護軍校			護軍校
19849	82323	翰林院主事		翰林院	主事
22936	85411	提牢官			
18983	81457	方略館協修兼總校官		方略館	總校官
22888	85363	提標右營千總		右營	千總
24826	87302	掌驗封司印			
18219	80693	承政			承政
22044	84519	乾清門頭等護衛			護衛
24082	86558	巡視北城監察御史			監察御史#御史
21748	84223	內閣中書學習		內閣	
18843	81317	二等果勇侯			
23058	85533	頭等侍衛續辦事侍衛班領			侍衛班領
23600	86075	鑲藍旗佐領			佐領
25310	87786	總兵官銜			
23004	85479	同文館幫提調		文館#同文館	提調#幫提調
23108	85583	外火器營翼長		火器營	翼長
18675	81149	督標左營參將		左營	參將
17786	80260	編書處總校官			總校官
22937	85412	提牢廳		提牢廳	
21804	84279	內監試			
17806	80280	標卷官			
17890	80364	兵部車駕司主事		兵部	主事#司主事
23780	86255	刑部福建司郎中	福建	刑部	郎中
17965	80439	兵科左給事中		兵科	左給事中#給事中
25134	87610	州牧			
22631	85106	水師右營哨官		右營	
20899	83374	考試翻譯童生考試官			
18906	81380	翻譯官			翻譯官#譯官
23863	86338	刑部司務		刑部	司務
18959	81433	繙書房翻譯官			翻譯官#譯官
25345	87821	總管內務府大臣		內務府	大臣#總管內務府大臣
17750	80224	寶泉局監督		寶泉局	監督
20359	82833	稽查倉收放糧石事務大臣			事務大臣#大臣
21987	84462	騎都尉加一雲騎尉			
18099	80573	漕運通判			通判#漕運通判
25281	87757	宗學正教長			
18534	81008	都察院副都御史		都察院	御史
22726	85201	隨扈從耕大臣			大臣
19343	81817	恭送皇帝梓宮大臣			大臣
23299	85774	武殿試校射大臣			大臣
21846	84321	內務府慎刑司員外郎		慎刑司#內務府	外郎#員外郎
22662	85137	司經局洗馬		司經局	洗馬
17931	80405	兵部武庫司總辦上行走		兵部	行走
23806	86281	刑部河南司主事	河南	刑部	主事#司主事
24321	86797	議和全權大臣			大臣
17749	80223	寶和殿監事			監事
18059	80533	參將銜			
19154	81628	副總管			副總管#總管
17730	80204	保和殿覆試直各省鄉舉人閱卷大臣			大臣
23838	86313	刑部秋審處總辦		秋審處#刑部	總辦
17949	80423	兵部職方司行走		兵部	行走
24443	86919	營總理營務處翼長		總理營務處#營務處	翼長
19196	81670	噶爾印房筆帖式		印房	筆帖式
22575	85050	水師提標後營遊擊			遊擊
20810	83285	喀賽因諾顏部札薩克和碩親王			
22037	84512	乾清門三等護衛			三等護衛#護衛
25323	87799	總督倉場戶部侍郎		戶部	侍郎
22047	84522	乾清門行走			行走
18642	81116	督標前營遊擊			遊擊
23137	85612	外學堂水操管帶官			管帶官
24059	86535	巡防大臣			大臣
19718	82192	國史館提調兼滿票行走		國史館	行走
20972	83447	考試滿洲翻譯大臣			大臣
17604	80078	拜唐阿工部拜堂阿		工部	
24659	87135	圓明園守備		圓明園	守備
19745	82219	國子監典簿		國子監	典簿
25089	87565	中日議約全權大臣			大臣
21507	83982	鑾儀衛協理堂務章京		鑾儀衛	章京
17862	80336	標左營千總		左營	千總
21391	83866	陵副將			副將
20863	83338	考試八旗武童監試大臣			大臣
21529	84004	馬館監督值年大臣		馬館	大臣
23261	85736	五部尚書			尚書
19225	81699	工部都水清吏司員外郎		都水清吏司#工部	外郎#員外郎
18676	81150	督標左營都司		左營	都司
19789	82263	漢監督			監督
19654	82128	管學官			管學官
19074	81548	撫標右營額外外委		右營	
24475	86951	右春坊右庶子		右春坊	右庶子
21077	83552	克拉沙爾辦事大臣			大臣
20696	83170	靖南伯			
18941	81415	翻譯鄉試副考官			
20905	83380	考試翻譯閱卷官			
18327	80801	春恩鎮國公			
21326	83801	吏部驗封司郎中		吏部	郎中
24873	87349	鎮標外委守備			守備
25433	87909	總統			總統
20724	83198	覺羅學			
21927	84402	盤查戶部三庫大臣		三庫#戶部	大臣
23191	85666	文報局委員			委員
20490	82964	稽察正紅旗滿洲旗務			
25188	87664	專門搜檢彈壓大臣			大臣
21134	83609	理道事務			
23386	85861	武鄉試題調官			
19322	81796	工科左給事中		工科	左給事中#給事中
17573	80047	八旗驍騎營練兵大臣			大臣
25031	87507	直省鄉試覆試閱卷大臣			大臣
22954	85429	天文生			天文生
18491	80965	殿試續卷官			
19368	81842	固山貝子上行走			行走
24508	86984	右翼城堆官兵大臣		右翼	大臣
20283	82757	會試監試官			
21866	84341	內務府御藥房主事		御藥房#內務府	主事
22603	85078	水師提督總兵官			
24264	86740	一等威勇伯			
17680	80154	辦事中書舍人			中書舍人
23634	86109	校對官			校對官
20733	83207	軍標中軍副將			副將
18331	80805	祠祭司主事			主事#司主事
20869	83344	考試筆帖式			筆帖式
25130	87606	重修太宗文皇帝實錄總裁官			總裁官
18703	81177	督理清丈事務			
18440	80914	道按察副使			副使
19470	81944	管理宮殿事務			
21195	83670	禮部祠祭司員外郎		禮部	外郎#員外郎
18245	80719	城守營參將			參將
19577	82051	管理右翼監督		右翼	監督
17551	80025	昂邦章京			章京
21186	83661	理事章京			章京
18936	81410	翻譯貼寫中書			中書#貼寫中書
19694	82168	國公			
23831	86306	刑部七品筆帖式額外行走		刑部	行走
21946	84421	平定三逆方略總裁官			總裁官
23483	85958	縣副將			副將
24932	87408	正紅貳旗滿洲協領			協領
21838	84313	內務府郎中銜		內務府	
20999	83474	考試盛京宗室覺羅官學漢教習閱卷官	盛京	官學	
23197	85672	文會試監試			
21883	84358	內務府佐領		內務府	佐領
22046	84521	乾清門頭等侍衛上行走			行走
22767	85242	太常寺丞		太常寺	丞#寺丞
21939	84414	闢展辦事大臣			大臣
18181	80655	暢春園管理事務郎中		暢春園	郎中
23659	86134	協標營把總			把總
19827	82301	翰林院漢辦事官		翰林院	辦事官
24595	87071	御前讀本官			
18904	81378	翻譯覆試監試大臣			大臣
20124	82598	戶部總督倉場		戶部	
19032	81506	奉宸苑苑丞		奉宸苑	苑丞#丞
24564	87040	玉牒副總裁官			總裁官#副總裁官
20021	82495	戶部河南司行走	河南	戶部	行走
19951	82425	鴻臚寺管理寺事大臣		鴻臚寺	大臣
24745	87221	則例館總纂官		則例館	總纂官
19482	81956	管理戶部三庫事務		三庫#戶部	
24781	87257	掌安徽司印鑰	安徽		
22992	85467	通政使司知事		通政使司	知事
23917	86392	刑科都給事中		刑科	都給事中#給事中
24570	87046	玉牒館副總裁官		玉牒館	總裁官#副總裁官
19688	82162	廣儲司員外郎		廣儲司	外郎#員外郎
20870	83345	考試筆帖式大主考			
20309	82783	會試知貢舉考試各官學教習閱卷官		官學	
22248	84723	三通館正總裁		三通館	總裁
19280	81754	工部營繕司料估所主稿		工部#料估所#營繕司	主稿
20271	82745	會試副考官			
22506	84981	收掌校對官			校對官
22131	84606	秋審處行走		秋審處	行走
22169	84644	三等阿思哈尼哈番			
22541	85016	雙月主事			主事
24820	87296	掌衛事大臣			大臣#掌衛事大臣
19962	82436	侯			
19022	81496	封朝鮮國王世孫副使			副使
23031	85506	統領砲臺			
19950	82424	紅十字會條約全權議員			議員
24839	87315	掌印總統大臣			總統大臣#大臣#掌印總統大臣
20366	82840	稽查東城			
